us_tariff,china_rate,eu_rate,canmex_rate,welfare_us,cpi_us,employment_us,trade_deficit_us,hhi_pharma,welfare_china,welfare_eu
0.0,0.3,0.4,0.3,-1.0437479593181975,-3.6900487410310268,-0.38668466099982535,-12.207701334294669,580.4,0.19526643848579717,-0.08323210276263149
0.0,0.3,0.4,0.4,-1.1350161359828137,-3.969050511737604,-0.42024724457611073,-13.218470912311151,580.4,0.21546877624118999,-0.07796056798100581
0.0,0.3,0.4,0.5,-1.1975405053711752,-4.1685182557962825,-0.4432906972228645,-13.91569620640816,580.4,0.2302725555288987,-0.07408809455888843
0.0,0.3,0.5,0.0,-0.4655244994196339,-2.2719051650442634,-0.17701834042662679,-6.011701103764853,580.4,0.09909617636207901,-0.19476237934972218
0.0,0.3,0.5,0.1,-0.7400600907910726,-2.9202010904633147,-0.2762753833859599,-8.946764350984067,580.4,0.13947888644696427,-0.1896202898310939
0.0,0.3,0.5,0.2,-0.9329806903182414,-3.4333918417314924,-0.34659588948089404,-11.03998964211394,580.4,0.1736558465671667,-0.18407762892477253
0.0,0.3,0.5,0.3,-1.0664440242162954,-3.820662831360666,-0.3955345340006189,-12.505378675764895,580.4,0.20068468932312733,-0.17918546437742933
0.0,0.3,0.5,0.4,-1.1580256438904257,-4.103305089213816,-0.429248378243563,-13.520188133774061,580.4,0.22108414077546268,-0.17531319856161076
0.0,0.3,0.5,0.5,-1.2207988718412333,-4.305544665723582,-0.45240992467378005,-14.220629844635093,580.4,0.2360456704467051,-0.1724367223595702
0.0,0.4,0.0,0.0,-0.1271005603204367,-0.5929923830142236,-0.04793211274241038,-1.6355340459634506,580.4,-0.001978273760927518,-0.010907796393433422
0.0,0.4,0.0,0.1,-0.39662217524172316,-1.1595272355382935,-0.1443428334255925,-4.511012145431546,580.4,0.03409560865810235,-0.0017105118024440813
0.0,0.4,0.0,0.2,-0.5841549175231942,-1.60088310459916,-0.2118671436454389,-6.538692147657164,580.4,0.06413872698094458,0.0066441975953956955
0.0,0.4,0.0,0.3,-0.7125990971827756,-1.928673840054873,-0.2583256576763504,-7.9421716774574325,580.4,0.08750564766990543,0.013377492888499987
0.0,0.4,0.0,0.4,-0.7999423945032946,-2.1645686712157497,-0.29000558048424274,-8.904265949327755,580.4,0.10488342138994522,0.01841872906480635
0.0,0.4,0.0,0.5,-0.8593624307103531,-2.331463280681645,-0.31158776501057917,-9.562792326654264,580.4,0.11748015895061137,0.02203262684430385
0.0,0.4,0.1,0.0,-0.2788526807592673,-1.3190256852694704,-0.10562074985623893,-3.584307559124384,580.4,0.02113914312764642,0.1164867454103824
0.0,0.4,0.1,0.1,-0.5504328134623981,-1.9185821870376762,-0.20320486623350842,-6.483262179547983,580.4,0.058159644318900305,0.13119455760897125
0.0,0.4,0.1,0.2,-0.7402051884787153,-2.3888448704496357,-0.27188680824324907,-8.537376797180288,580.4,0.08924082870636063,0.1441093489918277
0.0,0.4,0.1,0.3,-0.8707393323807766,-2.740455289717547,-0.31937081314733495,-9.965989534314081,580.4,0.11360509183111489,0.15440379400888382
0.0,0.4,0.1,0.4,-0.9598437127477766,-2.9949754951322904,-0.35188886149394305,-10.94949257486835,580.4,0.1318468739749168,0.16210578884028326
